_id,author_details,title,isbn,publisher,date_published,rating,read,series_details,pages,notes,list_price,format,description,genre,language,date_added,last_update_date,book_uuid
61,"Mlodinow, Leonard",Subliminal: How Your Unconscious Mind Rules Your Behavior,9780307472250,Vintage,2013-02-12,0,0,,260,,,Paperback,"<b>Winner of the 2013 PEN/E.O. Wilson Literary Science Writing Award</b><br /><br />Over the past two decades of neurological research, it has become increasingly clear that the way we experience the world--our perception, behavior, memory, and social judgment--is largely driven by the mind's subliminal processes and not by the conscious ones, as we have long believed. As in the bestselling <i>The Drunkard’s Walk: How Randomness Rules Our Lives</i>, Leonard Mlodinow employs his signature concise, accessible explanations of the most obscure scientific subjects to unravel the complexities of the subliminal mind. In the process he shows the many ways it influences how we misperceive our relationships with family, friends, and business associates; how we misunderstand the reasons for our investment decisions; and how we misremember important events--along the way, changing our view of ourselves and the world around us.",Psychology / Social Psychology,,2017-10-15 16:17:37,2017-10-15 16:17:37,0aee7d81c9bf2d7dae7c5647d63847e6
62,"Andreas, Steve|Faulkner, Charles|Gerling, Kelly|Hallbom, Tim|McDonald, Robert|Schmidt, Gerry|Smith, Suzi|Comprehensive, NLP",NLP: The New Technology of Achievement,9780688146191,HarperCollins Publishers Inc.,1996-02-19,0,0,,354,,15.99,Paperback,"<p>NLP has already helped millions of people overcome fears, increase confidence, enrich relationships, and achieve greater sucess. Now the NLP Comprehensive Training Team has written a book that reveals how to use this breakthrough technology to <em>achieve whatever you want.</em></p><p>Short for neuro-linguistic programming, NLP is a revolutionary approach to human communication and development. In <em>NLP: The New Technology of Achievement,</em> you'll be guided step-by-step through specific programs for learning the characeristics of top achievers and creating a blueprint for unlimited sucess. Plus, an all-new twenty-one-day program created especially for this book provides you with the essential skills you'll need to achieve peak performance in business and life.</p>",Self-Help / Personal Growth / Success,English,2017-10-15 16:17:54,2017-10-15 16:17:54,69d0ea16125caa82b876bdf9d2900c23
63,"Harrison, Allen F.|Bramson, Robert M.","Art of Thinking, The",425105687,Berkley,1987-04-15,0,0,,228,,,Paperback,"There are different types of thinking for different situations. Learning to distinguish and choose the right style of thinking is an art that can enhance success, help achieve goals and influence others.",Psychology / Experimental Psychology,,2017-10-15 16:19:01,2017-10-15 16:19:01,b1674dba1496925ba23c73b7c8dc1885
64,"Hoff, Benjamin|Shepard, Ernest H.","Tao of Pooh, The",9780140067477,Penguin Books,1983-07-28,0,0,"The Way, With The Enchanted Neighborhood",158,,,,"The Wisdom of Pooh.<br /><br />Is there such thing as a Western Taoist? Benjamin Hoff says there is, and this Taoist's favorite food is honey. Through brilliant and witty dialogue with the beloved Pooh-bear and his companions, the author of this smash bestseller explains with ease and aplomb that rather than being a distant and mysterious concept, Taoism is as near and practical to us as our morning breakfast bowl. <br /><br />Romp through the enchanting world of Winnie-the-Pooh while soaking up invaluable lessons on simplicity and natural living.",Philosophy / Taoist,,2017-10-15 16:19:27,2017-10-15 16:19:27,b85b1dc19c52e77068dd7be5340bb7e4
65,"Hoff, Benjamin|Shepard, Ernest H.","Te of Piglet, The",9780140230161,Penguin Books,1993-11-01,0,0,"The Way, With The Enchanted Neighborhood",257,,,Paperback,"In this wonderful sequel to <i> The Tao of Pooh</i>, the author explores the Te (Virtue) of the Small--a principle embodied perfectly in Piglet, A.A. Milne's Very Small Animal who proved to be so Useful after all.",Philosophy / Taoist,,2017-10-15 16:19:45,2017-10-15 16:19:45,384bbccc52813ac7ef63537173bc9271
66,"Craig, Andy|Yewman, Dave",Weekend Language: Presenting with More Stories and Less PowerPoint,9780988595613,Dash Consulting Incorporated,2013-12-01,0,0,,114,,12.95,Paperback,"Think about it: on weekends, we're all great communicators because our default is storytelling. When we go to a party on Saturday night, we don't talk about how we optimized our calendar last Wednesday to monetize our mission-critical, best-of-breed, seamless-solution-provider business. (If you do, that's probably why you haven't been invited back to many parties). No, on the weekends our speech is conversational, simple, clear, and interesting. We speak in examples, anecdotes, and analogies. But then Monday morning hits. We step into the office and suddenly we're full of feature lists and ten-point plans, ""high level"" terms and nonsense. As if that wasn't bad enough, we beat the snot out of our audiences with 118-slide PowerPoint presentations chock-full of text. Audience members typically don't remember anything from those types of presentations. But they do remember stories. The approach and techniques found in this book are designed to help you replicate your existing strengths as a weekend storyteller so you can drag them into your weekday presentations to and conversations with customers, partners, employees, and investors. That way, you can be a great communicator every day of the week.",,English,2017-10-15 16:20:01,2017-10-15 16:20:01,83fb390a21d723184242e4bdb86f93be
67,"Berendt, John",Midnight in the Garden of Good and Evil,9780679751526,Vintage Books,1994-01-13,0,0,,386,,16.95,Paperback,"A sublime and seductive reading experience. Brilliantly conceived and masterfully written, this enormously engaging portrait of a most beguiling Southern city has become a modern classic.<br /><br />Shots rang out in Savannah's grandest mansion in the misty, early morning hours of May 2, 1981. Was it murder or self-defense? For nearly a decade, the shooting and its aftermath reverberated throughout this hauntingly beautiful city of moss-hung oaks and shaded squares. John Berendt's sharply observed, suspenseful, and witty narrative reads like a thoroughly engrossing novel, and yet it is a work of nonfiction. Berendt skillfully interweaves a hugely entertaining first-person account of life in this isolated remnant of the Old South with the unpredictable twists and turns of a landmark murder case.<br /><br />It is a spellbinding story peopled by a gallery of remarkable characters: the well-bred society ladies of the Married Woman's Card Club; the turbulent young redneck gigolo; the hapless recluse who owns a bottle of poison so powerful it could kill every man, woman, and child in Savannah; the aging and profane Southern belle who is the ""soul of pampered self-absorption""; the uproariously funny black drag queen; the acerbic and arrogant antiques dealer; the sweet-talking, piano-playing con artist; young blacks dancing the minuet at the black debutante ball; and Minerva, the voodoo priestess who works her magic in the graveyard at midnight. These and other Savannahians act as a Greek chorus, with Berendt revealing the alliances, hostilities, and intrigues that thrive in a town where everyone knows everyone else.",,English,2017-10-15 16:21:37,2017-10-15 16:21:37,e20d360213209e5610fe8118a9318d09
68,"Camus, Albert|Ward, Matthew","Stranger, The",9780679720201,Vintage International,1989,0,0,,123,,,Paperback,"<i>There is an alternate cover edition for this ISBN10 <a href=""https://www.goodreads.com/book/show/49552.The_Stranger"" rel=""nofollow"">here</a>.</i><br /><br />Since it was first published in English, in 1946, Albert Camus's first novel, <i>THE STRANGER (L'etranger)</i>, has had a profound impact on millions of American readers. Through this story of an ordinary man who unwittingly gets drawn into a senseless murder on a sundrenched Algerian beach, Camus explored what he termed ""the nakedness of man faced with the absurd.""",Fiction / Literary,,2017-10-15 16:21:54,2017-10-15 16:21:54,94b59969fc6506b6bf6a341489219ffe
69,"Camus, Albert|Howard, Richard","Happy Death, A",394718658,"Vintage Books, A Division of Randon House",1973-05-01,0,0,His Cahier (1),193,,8,Paperback,"<i>From the book cover of the 1973 paperback edition:</i><br /><br /><i>A Happy Death</i>, Albert Camus's previously unpublished first novel, written when he was in his early twenties, foreshadows his brilliant work, <i>The Stranger</i>. But in it Camus reveals much more of himself that he did in his later, more mythic fiction. Through young Patrice, the protagonist, the reader feels in touch with the young Camus -- his joy in the sea, sun, his native Algeria, his relationships with women, his need of them and detachment from them, the intense alienation he experienced as a traveler in Central Europe. And it is from his early intimations of death, movingly evoked, that the novel draws its theme -- how one is to live in order to have the right death.<br /><br /><i>A Happy Death</i> is the first of the <i>""cahiers</i> that Camus left unpublished, whose publication will complete his literary <i>oeuvre</i>.<br /><br />With an Afterword and Notes by Jean Sarocchi.",,English,2017-10-15 16:22:29,2017-10-15 16:22:29,775e53646c6328a51e3d8362d4370005
70,"Card, Orson Scott",Speaker for the Dead,812550757,Tor Books,1994-08-15,0,0,The Ender Quintet (2)|Enderverse:  Publication Order (2)|The Enderverse (10)|Ender's Saga (2),382,,7.99,Mass Market Paperback,"In the aftermath of his terrible war, Ender Wiggin disappeared, and a powerful voice arose: the Speaker for the Dead, who told of the true story of the Bugger War.<br /><br />Now long years later, a second alien race has been discovered, but again the aliens’ ways are strange and frightening…again, humans die. And it is only the Speaker for the Dead, who is also Ender Wiggin the Xenocide, who has the courage to confront the mystery…and the truth.",,English,2017-10-15 16:23:35,2017-10-15 16:23:35,d437c0004630548c42c49162aac0a760
71,"Carter, Angela","Bloody Chamber and Other Stories, The",014017821X,Penguin Books,1990-01-01,0,0,,128,,15,Paperback,"Angela Carter was a storytelling sorceress, the literary godmother of such contemporary masters of supernatural fiction as Neil Gaiman, David Mitchell, Audrey Niffenegger, J. K. Rowling, and Kelly Link, who introduces this edition of Carter's most celebrated book, published for the seventy-fifth anniversary of her birth. In <i>The Bloody Chamber</i>—which includes the story that is the basis of Neil Jordan's 1984 movie <i>The Company of Wolves</i>—Carter spins subversively dark and sensual versions of familiar fairy tales and legends like ""Little Red Riding Hood,"" ""Bluebeard,"" ""Puss in Boots,"" and ""Beauty and the Beast,"" giving them exhilarating new life in a style steeped in the romantic trappings of the gothic tradition.",,English,2017-10-15 16:24:25,2017-10-15 16:24:25,b8253d580b48923db9aa6fb156a2d335
72,"Saavedra, Miguel de Cervantes|Starkie, Walter",Don Quixote,451525078,Signet Classics,1965-10-01,0,0,Don Quijote de la Mancha,1056,,,Paperback," Don Quixote is practically unthinkable as a living being,"" said novelist Milan Kundera. ""And yet, in our memory, what character is more alive?""--Widely regarded as the world's first modern novel, Don Quixote chronicles the famous picaresque adventures of the noble knight-errant Don Quixote de La Mancha &amp; his faithful squire, Sancho Panza, as they travel through sixteenth-century Spain. This Modern Library edition presents the acclaimed Samuel Putnam translation of the epic tale, complete with notes, variant readings, &amp; an Introduction by the translator.<br /> The debt owed to Cervantes by literature is immense. From Milan Kundera: ""Cervantes is the founder of the Modern Era...The novelist need answer to no one but Cervantes.""<br /> Lionel Trilling observed: ""It can be said that all prose fiction is a variation on the theme of Don Quixote."" <br /> Vladmir Nabokov wrote: ""Don Quixote is greater today than he was in Cervantes's womb. [He] looms so wonderfully above the skyline of literature, a gaunt giant on a lean nag, that the book lives &amp; will live through [his] sheer vitality...He stands for everything that is gentle, forlorn, pure, unselfish &amp; gallant. The parody has become a paragon.""<br /> V. S. Pritchett observed: ""Don Quixote begins as a province, turns into Spain, and ends as a universe...The true spell of Cervantes is that he is a natural magician in pure story-telling.""<br /> The Modern Library has played a significant role in American cultural life for the better part of a century. The series was founded in 1917 by the publishers Boni &amp; Liveright &amp; eight years later acquired by Bennett Cerf &amp; Donald Klopfer. It provided the foundation for their next publishing venture, Random House. The Modern Library has been a staple of the American book trade, providing readers with affordable hardbound editions of important works of literature &amp; thought. For the Modern Library's seventy-fifth anniversary, Random House redesigned the series, restoring as its emblem the running torchbearer created by Lucian Bernhard in 1925 &amp; refurbishing jackets, bindings &amp; type, as well as inaugurating a new program of selecting titles. The Modern Library continues to provide the world's best books at the best prices.",,,2017-10-15 16:25:32,2017-10-15 16:25:32,780b880e403d3c4de6e6c3d1fe4df2e2
73,"Chalker, Jack L.","Dancing Gods, Part 1: River of the Dancing Gods / Demons of the Dancing Gods, The",345402464,Del Rey,1995-10-30,0,0,Dancing Gods (1-2),0,,6.99,Mass Market Paperback,"BEYOND THE SEA OF DREAMS<br>Life had never been kind to Joe and Marge. Now, according to Throckmorton P. Ruddygore--a stranger who met them on a road that wasn't there--they were due to die in nineteen minutes. But across the Sea of Dreams lay a new and perhaps better life, in a place where fairies danced by moonlight. Joe could become a mighty-thewed barbarian warrior. Marge could be beautiful and find her magical self.<br>It was just as Ruddygore had promised, plus a great deal more. For this was a world where Hell still strove to win its ancient war, where demon princes sent men into battles of dark magic, and where Joe and Marge must somehow help prevent the coming of Armageddon!",,English,2017-10-15 16:26:43,2017-10-15 16:26:43,314f318cc8576c65279770deca5eeb88
74,"Chalker, Jack L.",Vengeance of the Dancing Gods,345315499,Del Rey Fantasy,1985-06-12,0,0,Dancing Gods (3),303,,5.99,Mass Market Paperback,"A FEW ALTERATIONS<br />Throckmorton P. Ruddygore, master wizard, had troubles--again!<br />Ruddygore had defeated the Dark Baron and exiled him from the magical realm of Husaquahr to Earth. But he hadn't counted on the Baron's using an earthly computer to create even more effective spells.<br />Of course, the Baron couldn't use those spells. But the forces of Hell soon sent him a second-rank wizard who could--and together they worked a scam so that Ruddygore couldn't cross the Sea of Dreams to deal with the Baron directly. Now the Baron was developing a scheme that would surely result in Armageddon before its time.<br />Once again Marge the fairy and Joe the barbarian were called upon to do the dirty work. They had to return to their home world and stop the Baron--if they could . . .<br />And that would be only the beginning of their assignment!<br />""A damn fine storyteller . . . Chalker is a master.""<br />--Orson Scott Card",,English,2017-10-15 16:27:40,2017-10-15 16:27:40,15e2e2c6de2467c6961c727d79a674f0
75,"Chalker, Jack L.",Horrors of the Dancing Gods,345376927,Del Rey Fantasy,1995-10-30,0,0,Dancing Gods (5),322,,5.99,Paperback,"In this final volume of the Dancing Gods series, Ruddygore and his heroes must face an ancient evil seeping forth from the Sea of Dreams. **** Long dormant evil is rising to challenge reality as we know it and it will destroy Earth and the magical world of Husaguahr if left to its own devices. **** The Rules require the Great McGuffin to challenge and stop the evil forces, but McGuffini is lost in Hell and Ruddygore must, once again, depend on the skills Marge and Joe (and Joe's estranged son, Irving).",Fiction / Science Fiction / General,English,2017-10-15 16:28:46,2017-10-15 16:28:46,b3091afc73ddab6388763652f0f6172c
76,"Chekhov, Anton","Major Plays, The",451517679,Signet Classics,1964-05-01,0,0,Signet Classics,380,,,Paperback,"Ivanov, The Sea Gull, Uncle Vanya, The Three Sisters, and The Cherry Orchard. Translated by Anne Dunnigan.\n\n""Let the things that happen on stage be just as complex and yet just as simple as they are in life. For instance, people are having a meal, just having a meal, but at the same time their happiness is being created, or their lives are being smashed up."" (Chekhov, translated by Dunnigan.)",,English,2017-10-15 16:29:14,2017-10-15 16:29:14,ef918a7607bbd41d3b77c30f8f8266f1
77,"Chopin, Kate|Robinson, Marilynne","Awakening and Selected Short Stories, The",055321330X,Bantam Classics,1985-05-01,0,0,,210,,4.95,Mass Market Paperback,"A concise introduction that gives readers important background information.<br />A chronology of the author's life and work <p>  A timeline of significant events that provides the book's historical context </p><p>  An outline of key themes and plot points to help readers form their own interpretations </p><p>  Detailed explanatory notes </p><p>  Critical analysis, including contemporary and modern perspectives on the work </p><p>  Discussion questions to promote lively classroom and book group interaction </p><p>  A list of recommended related books and films to broaden the reader's experience </p><p> Enriched Classics offer readers affordable editions of great works of literature enhanced by helpful notes and insightful commentary. The scholarship provided in Enriched Classics enables readers to appreciate, understand, and enjoy the world's finest books to their full potential.</p>",,English,2017-10-15 16:29:37,2017-10-15 16:29:37,1cdaa927ef72841363a3b5c580c9ad24
78,"Clarke, Arthur C.",2001: A Space Odyssey,451118642,Signet,1982-11-02,0,0,Space Odyssey (1)|Signet,226,,2.95,Paperback,"In the year 2001 an alien artifact is found on the moon. Tracking its radio signal in outer space, an expedition is launched with mysterious, haunting results.",,English,2017-10-15 16:29:57,2017-10-15 16:29:57,0e2b4edc0bf8650da17dbe27ae2da0d1
79,"Conrad, Joseph|Walker, Franklin",Heart of Darkness and The Secret Sharer,553212141,Bantam Classics,1982-05-01,0,0,Bantam Classic,208,,5.95,Paperback,"<i>Heart Of Darkness</i>. The story of the civilized, enlightened Mr. Kurtz who embarks on a harrowing ""night journey"" into the savage heart of Africa, only to find his dark and evil soul. <i>The Secret Sharer</i>. The saga of a young, inexperienced skipper forced to decide the fate of a fugitive sailor who killed a man in self-defense. As he faces his first moral test the skipper discovers a terrifying truth -- and comes face to face with the secret itself. <i>Heart Of Darkness</i> and <i>The Secret Sharer</i> draw on actual events and people that Conrad met or heard about during his many far-flung travels. In portraying men whose incredible journeys on land and at sea are also symbolic voyages into their own mysterious depths, these two masterful works give credence to Conrad's acclaim as a major psychological writer.",Fiction / Classics,English,2017-10-15 16:30:15,2017-10-15 16:30:15,884673475694a7fa33e62831f06f752f
80,"Crane, Stephen","Red Badge of Courage, The",895591359,Ventura Books,1980,0,0,,180,,,Mass Market Paperback,"Published thirty years after the Civil War, this ""impressionistic"" American classic tells a war story in a thoroughly modern way - without a trace of romanticizing. Through the eyes of ordinary soldier Henry Fleming, we follow his psychological turmoil, from the excitement of patriotism to the bloody realities of battle and his flight from it. In the end, he overcomes his fear and disillusionment, and fights with courage.",,,2017-10-15 16:30:45,2017-10-15 16:30:45,f385d019ea6e77fa065f556721ab7353
81,"Doctorow, E.L.|Doctorow, E. L.","Waterworks, The",451185633,Signet,1995-05-01,0,0,,349,,6.99,Mass Market Paperback,"One rainy morning in 1871 in lower Manhattan, Martin Pemberton a freelance writer, sees in a passing stagecoach several elderly men, one of whom he recognizes as his supposedly dead and buried father. While trying to unravel the mystery, Pemberton disappears, sending McIlvaine, his employer, the editor of an evening paper, in pursuit of the truth behind his freelancer’s fate. Layer by layer, McIlvaine reveals a modern metropolis surging with primordial urges and sins, where the Tweed Ring operates the city for its own profit and a conspicuously self-satisfied nouveau-riche ignores the poverty and squalor that surrounds them.",Fiction / Literary,English,2017-10-15 16:31:06,2017-10-15 16:31:06,fdb48db0d3718ffff08d94d558b4bc35
82,"Doctorow, E.L.",Welcome to Hard Times,449216020,Fawcett,1988-07-12,0,0,,0,,5.99,Mass Market Paperback,"Doctorow's magnificent first novel follows the story of how the town of Hard Times in the Dakota Territory got its name. An early example of the brilliance of Doctorow, repackaged to match World's Fair and his other bestsellers. Reprint from Bantam.",,English,2017-10-15 16:31:25,2017-10-15 16:31:25,ac97d79c73f51d10625585cc68b4fd59
83,"Asimov, Isaac",Foundation's Edge,345308980,Del Rey Books,1983-10-12,0,0,Foundation (Publication Order) (4)|Foundation (Chronological Order) (6)|Foundation Universe (14)|Foundation (4),426,,12.5,Paperback,"At last, the costly and bitter war between the two Foundations had come to an end. The scientists of the First Foundation had proved victorious; and now they retum to Hari Seldon's long-established plan to build a new Empire that the Second Foundation is not destroyed after all-and that its still-defiant survivors are preparing their revenge. Now the two exiled citizens of the Foundation-a renegade Councilman and the doddering historian-set out in search of the mythical planet Earth. . .and proof that the Second Foundation still exists. Meanwhile someone-or something-outside of both Foundations sees to be orchestrating events to suit its own ominous purpose. Soon representatives of both the First and Second Foundations will find themselves racing toward a mysterious world called Gaia and a final shocking destiny at the very end of the universe!",,English,2017-10-15 16:43:03,2017-10-15 16:43:03,746871d252c742b2055d8bc393e25f2b
84,"Asimov, Isaac",Second Foundation,553293362,Bantam Spectra,1991-10-01,0,0,Foundation (Publication Order) (3)|Foundation (Chronological Order) (5)|Foundation Universe (13)|Foundation (3),279,,7.99,Mass Market Paperback,"After years of struggle, the Foundation lay in ruins--destroyed by the mutant mind power of the Mule. But it was rumored that there was a Second Foundation hidden somewhere at the end of the Galaxy, established to preserve the knowledge of mankind through the long centuries of barbarism. The Mule had failed to find it the first time--but now he was certain he knew where it lay.<br /><br />The fate of the Foundation rested on young Arkady Darell, only fourteen years old and burdened with a terrible secret. As its scientists girded for a final showdown with the Mule, the survivors of the First Foundation began their desperate search. They too wanted the Second Foundation destroyed...before it destroyed them.",,English,2017-10-15 16:43:30,2017-10-15 16:43:30,1e5ae34004132e98b7a741bc9d8916d3
85,"Bradbury, Ray|Burns, Jim","Illustrated Man, The",055327449X,Spectra,1983-11-01,0,0,Grand Master Editions,186,,7.99,Mass Market Paperback,"The tattooed man moves, and in the arcane designs scrawled upon his skin swirl tales beyond imagining: tales of love and laughter darkness and death, of mankind’s glowing, golden past and its dim, haunted future. Here are eighteen incomparable stories that blend magic and truth in a kaleidoscope tapestry of wonder—woven by the matchless imagination of Ray Bradbury.",Fiction / Science Fiction / General,English,2017-10-15 16:44:02,2017-10-15 16:44:02,c78d25cbebbba8d1f36977405f9be28c
86,"Bradbury, Ray",From the Dust Returned,380973820,William Morrow,2001-10-01,0,0,,204,,23,Hardcover,"Ray Bradbury, America's most beloved storyteller, has spent a lifetime carrying readers to exhilarating and dangerous places, from dark street comers in unfamiliar cities and towns to the edge of the universe. Now, in an extraordinary flight of the imagination a half-century in the making, he takes us to a most wondrous destination: into the heart of an Eternal Family.<br /><br />They have lived for centuries in a house of legend and mystery in upper Illinois -- and they are not like other midwesterners. Rarely encountered in daylight hours, their children are curious and wild; their old ones have survived since before the Sphinx first sank its paws deep in Egyptian sands. And some sleep in beds with lids.<br /><br />Now the house is being readied in anticipation of the gala homecoming that will gather together the farflung branches of this odd and remarkable family. In the past-midnight stillness can be detected the soft fluttering of Uncle Einars wings. From her realm of sleep, Cecy, the fairest and most special daughter, can feel the approach of many a welcome being -- shapeshifter, telepath, somnambulist, vampire -- as she flies high in the consciousness of bird and bat.<br /><br />But in the midst of eager anticipation, a sense of doom pervades. For the world is changing. And death, no stranger, will always shadow this most singular family: Father, arisen from the Earth; Mother, who never sleeps but dreams; A Thousand Times Great Grandmére; Grandfather, who keeps the wildness of youth between his ears.<br /><br />And the boy who, more than anyone, carries the burden of time on his shoulders: Timothy, the sad and different foundling son who must share it all, remember, and tell...and who, alone out of all of them, must one day age and wither and die.<br /><br />By turns lyrical, wistful, poignant, and chilling, <em>From the Dust Returned</em> is the long-awaited new novel by the peerless Ray Bradbury -- a book that will surely be numbered among his most enduring masterworks.",,English,2017-10-15 16:45:45,2017-10-15 16:45:45,78ac7b0a95e734a4b52d01e5961abf57
87,"Albom, Mitch","Five People You Meet in Heaven, The",786868716,Hachette Books,2003-09-23,0,0,,196,,22,Hardcover,"Eddie is a wounded war veteran, an old man who has lived, in his mind, an uninspired life. His job is fixing rides at a seaside amusement park. On his 83rd birthday, a tragic accident kills him as he tries to save a little girl from a falling cart. He awakes in the afterlife, where he learns that heaven is not a destination. It s a place where your life is explained to you by five people, some of whom you knew, others who may have been strangers. One by one, from childhood to soldier to old age, Eddie s five people revisit their connections to him on earth, illuminating the mysteries of his meaningless life, and revealing the haunting secret behind the eternal question: Why was I here? <br /><br />From the author of the <i>New York Times</i> bestseller <i>Tuesdays with Morrie</i> comes a novel that explores unexpected connections and the idea that heaven is more than a place: it's an answer.",,English,2017-10-15 16:46:35,2017-10-15 16:46:35,a1d38f6b9aa6d4a69ee62e5bfa9554cb
88,"Ambrose, David","Man Who Turned Into Himself, The",9780312131197,Picador,1995-07-15,0,0,Picador Fiction,208,,10,Paperback,"In the middle of an important meeting, businessman Rick Hamilton has a terrible premonition: His wife is about to die. Racing to save her, he finds her lifeless body in the road, her car crushed by a truck. The light dwindles from his eyes... and then she is alive again, begging for help, and Rick Hamilton no longer is himself, but another man with another life, and a different history.<br /><br />Based on the ""many worlds"" theory of quantum physics, which posits the existence of parallel universes, <i>The Man Who Turned Into Himself</i> is a suspenseful, mind-bending mystery that addresses our deepest questions about reality, death, identity, and the mind.",Fiction / Psychological,English,2017-10-15 16:46:56,2017-10-15 16:46:56,2100e54ba478a9682315c61b3e3bc2c7
89,"Asimov, Isaac",Foundation and Empire,9780553382587,Bantam Spectra,2008-04-29,0,0,Foundation (Publication Order) (2)|Foundation Universe (12)|Foundation (Chronological Order) (4)|Foundation (2),282,,16,Paperback,"The Foundation novels of Isaac Asimov are one of the great masterworks of science fiction. Unsurpassed for their unique blend of nonstop action, daring ideas, and extensive world-building, they chronicle the struggle of a courageous group of men and women to preserve humanity’s light against an inexorable tide of darkness and violence.<br /><br />Led by its founding father, the great psychohistorian Hari Seldon, and taking advantage of its superior science and technology, the Foundation has survived the greed and barbarism of its neighboring warrior-planets. Yet now it must face the Empire—still the mightiest force in the Galaxy even in its death throes. When an ambitious general determined to restore the Empire’s glory turns the vast Imperial fleet toward the Foundation, the only hope for the small planet of scholars and scientists lies in the prophecies of Hari Seldon.<br /><br />But not even Hari Seldon could have predicted the birth of the extraordinary creature called The Mule—a mutant intelligence with a power greater than a dozen battle fleets…a power that can turn the strongest-willed human into an obedient slave.<br /><br /><br /><i>From the Paperback edition.</i>",Fiction / Science Fiction / General,English,2017-10-15 16:47:16,2017-10-15 16:47:16,bb766f222c495f5cdec6785293b95f9c
90,"Atwood, Margaret",Surfacing,9780385491051,Anchor,1998-06-01,0,0,,199,,14.95,Paperback,"Part detective novel, part psychological thriller, <i>Surfacing</i> is the story of a talented woman artist who goes in search of her missing father on a remote island in northern Quebec.  Setting out with her lover and another young couple, she soon finds herself captivated by the isolated setting, where a marriage begins to fall apart, violence and death lurk just beneath the surface, and sex becomes a catalyst for conflict and dangerous choices.  <i>Surfacing</i> is a work permeated with an aura of suspense, complex with layered meanings, and written in brilliant, diamond-sharp prose.  Here is a rich mine of ideas from an extraordinary writer about contemporary life and nature, families and marriage, and about women fragmented...and becoming whole.",Fiction / Literary,English,2017-10-15 16:47:34,2017-10-15 16:47:34,adf88f1bb2099916b9517bc76369d0c6
91,"Atwood, Margaret","Year of the Flood, The",9780307455475,Anchor,2010-07-27,0,0,MaddAddam (2),431,,16,Paperback,"Set in the visionary future of Atwood’s acclaimed <i>Oryx and Crake</i>, <i>The Year of the Flood</i> is at once a moving tale of lasting friendship and a landmark work of speculative fiction. <br /><br />In this second book of the MaddAddam trilogy, the long-feared waterless flood has occurred, altering Earth as we know it and obliterating most human life. Among the survivors are Ren, a young trapeze dancer locked inside the high-end sex club Scales and Tails, and Toby, who is barricaded inside a luxurious spa. Amid shadowy, corrupt ruling powers and new, gene-spliced life forms, Ren and Toby will have to decide on their next move, but they can't stay locked away.",Fiction / Literary,English,2017-10-15 16:47:52,2017-10-15 16:47:52,5dee719884c4f1afe994e1ba97e1b2a5
92,"Atwood, Margaret",MaddAddam,9780307455482,Random House Anchor Books,2014-08-12,0,0,MaddAddam (3)|MaddAddam Trilogy (3),394,,,Paperback,"In this final volume of the internationally celebrated MaddAddam trilogy, the Waterless Flood has wiped out most of the population. Toby is part of a small band of survivors, along with the Children of Crake: the gentle, bioengineered quasi-human species who will inherit this new earth.<br /><br />As Toby explains their origins to the curious Crakers, her tales coheres into a luminous oral history that sets down humanity's past--and points toward its future. Blending action, humor, romance, and an imagination at once dazzlingly inventive and grounded in a recognizable world, <i>MaddAddam</i> is vintage Atwood--a moving and dramatic conclusion to her epic work of speculative fiction.",Fiction / Dystopian,,2017-10-15 16:48:06,2017-10-15 16:48:06,8855e75e97f03b726241734727c4904e
93,"Auster, Paul",Moon Palace,9780571142200,Faber and Faber,1989-02-05,0,0,,307,,,Paperback,"It was the summer that men first walked on the moon. I was very young back then, but did not believe there would ever be a future. I wanted to live dangerously, to push myself as far as I could go, and then see what happened when I got there.'<br /><br />So begins the mesmerising narrative of Marco Stanley Fogg - orphan, child of the 1960s, a quester by nature. <i>Moon Palace</i> is his story - a novel that spans three generations, from the early years of this century to the first lunar landings, and moves from the canyons of Manhattan to the cruelly beautiful landscape of the American West. Filled with suspense, unlikely coincidences, wrenching tragedies and marvellous flights of lyricism and erudition, the novel carries the reader effortlessly along with Marco's search - for love, for his unknown father, and for the key to the elusive riddle of his origins and his fate.<br /><br />'Clever: very. Surprising: always - Auster is a master.' <i>The</i> <i>Times</i>",,English,2017-10-16 1:25:01,2017-10-16 1:25:01,d7bf9042085638d1408dcc4b3b58be93
